"Common.Name";"percentChange";"numYears"
"1";"Cusseta Elementary";-4.96319870385372;5
"2";"DMRC";-0.586226867086108;5
"3";"Fort Benning Jct.";-0.32132378587989;2
"4";"UPS";0.105403918256619;2
