"Common.Name";"percentChange";"numYears"
"1";"Georgia Tech Criteria";-0.364999999999999;5
"2";"Monastery";-0.549740352306282;10
"3";"South DeKalb";-0.0959216222374113;10
"4";"Tucker";-0.104166666666667;2
"5";"Yorkville";-0.597836774827927;10
