# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|13|089|0003|14129|1|7|105|110|20100102|00:00||AN|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100108|00:00|0.00540||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100114|00:00|0.01050||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100120|00:00|0.00520||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100126|00:00|0.00210||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100201|00:00|0.00420||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100207|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100213|00:00|0.00430||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100219|00:00|0.00580||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100225|00:00|0.00260||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100303|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100309|00:00|0.00740||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100315|00:00|0.00100||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100321|00:00|0.00250||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100327|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100402|00:00|0.00610||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100408|00:00|0.00180||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100414|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100420|00:00|0.00410||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100426|00:00|0.00320||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100502|00:00|0.00190||6|||||||||||||
